Club,Elo,date
Rapid Wien,1554,2019-04-28 16:59:29.875005
Spal,1554,2019-04-28 16:59:29.875005
Ту́ла,1553,2019-04-28 16:59:29.875005
LASK,1553,2019-04-28 16:59:29.875005
Malmö,1553,2019-04-28 16:59:29.875005
AEK,1553,2019-04-28 16:59:29.875005
Midtjylland,1552,2019-04-28 16:59:29.875005
Cagliari,1552,2019-04-28 16:59:29.875005
Hamburg,1548,2019-04-28 16:59:29.875005
Rijeka,1547,2019-04-28 16:59:29.875005
Alkmaar,1546,2019-04-28 16:59:29.875005
מכבי תל אביב,1545,2019-04-28 16:59:29.875005
Терек,1543,2019-04-28 16:59:29.875005
Almería,1543,2019-04-28 16:59:29.875005
Лудогорец,1542,2019-04-28 16:59:29.875005
Mallorca,1541,2019-04-28 16:59:29.875005
Bologna,1540,2019-04-28 16:59:29.875005
Swansea,1539,2019-04-28 16:59:29.875005
AIK,1538,2019-04-28 16:59:29.875005
Oviedo,1535,2019-04-28 16:59:29.875005
Udinese,1532,2019-04-28 16:59:29.875005
Genoa,1531,2019-04-28 16:59:29.875005
Crvena Zvezda,1529,2019-04-28 16:59:29.875005
Рубин,1528,2019-04-28 16:59:29.875005
Derby,1527,2019-04-28 16:59:29.875005
CFR Cluj,1525,2019-04-28 16:59:29.875005
Sheffield Weds,1525,2019-04-28 16:59:29.875005
Bristol City,1524,2019-04-28 16:59:29.875005
Λάρνακας,1523,2019-04-28 16:59:29.875005
Динамо Москва,1523,2019-04-28 16:59:29.875005
Middlesbrough,1522,2019-04-28 16:59:29.875005
Gent,1522,2019-04-28 16:59:29.875005
Steaua,1521,2019-04-28 16:59:29.875005
Brentford,1520,2019-04-28 16:59:29.875005
Trabzonspor,1520,2019-04-28 16:59:29.875005
Empoli,1519,2019-04-28 16:59:29.875005
Metz,1519,2019-04-28 16:59:29.875005
Union Berlin,1518,2019-04-28 16:59:29.875005
Sparta Praha,1517,2019-04-28 16:59:29.875005
Preston,1516,2019-04-28 16:59:29.875005
Toulouse,1513,2019-04-28 16:59:29.875005
Brest,1513,2019-04-28 16:59:29.875005
Hajduk,1512,2019-04-28 16:59:29.875005
БАТЭ,1511,2019-04-28 16:59:29.875005
